cycleNumber,Qchg_mAh,Echg_Wh,Qdis_mAh,Edis_Wh,eta_Q,eta_E,T_mean,T_95,frac_time_Tgt40,cycle_duration,R0_ohm,domain
168,2077.4039123787,8.195890632255358,2074.06069188666,7.14220602331028,0.9983906738250955,0.8714374488114511,29.728584359635818,37.946844900000016,0.00029567378800015605,1995429.06498525,,Cell2
169,2066.38852601774,8.15724606985663,2073.65987502713,7.14201480984908,1.0,0.8755424010366536,29.58238505279035,37.8662551,0.00029554853404823936,1996274.73108607,,Cell2
170,2060.64480357101,8.135508804963353,2074.14930813748,7.1414168382633,1.0,0.8778082612247224,29.558185078313254,37.7635415,0.0002804040464912334,1997104.0851849301,,Cell2
171,2061.46548359353,8.138788809018465,2074.65675355794,7.14182369937548,1.0,0.8775044870880219,29.54969633634992,37.743790499999996,0.0002802897848702772,1997918.21528198,,Cell2
172,2061.70772476107,8.139581579445064,2075.31984838732,7.1422617730734,1.0,0.8774728410007953,29.503431196374624,37.760381749999986,0.0002801714741778303,1998761.89538256,,Cell2
173,2062.86739271108,8.144056184108198,2074.94348224121,7.14257067281077,1.0,0.8770286588577736,29.514576630467577,37.853615199999986,0.0002800483267705973,1999640.82348733,,Cell2
174,2062.49089447872,8.142651990907554,2074.6190686141,7.1416143689328,1.0,0.8770624578954674,29.593427191198785,38.0464,0.00029492567874961925,2000490.67558864,,Cell2
175,2061.36468874546,8.138013314081052,2074.61331417182,7.14159128114632,1.0,0.8775595474621992,29.593571314285718,37.90892199999999,0.0002947816681171109,2001467.9817051499,,Cell2
176,2062.37152964154,8.141941078007767,2074.8298310867,7.14227195483129,1.0,0.8772198037791397,29.78141651946108,38.045217099999995,0.00030964215163620603,2002298.6878041702,,Cell2
177,2061.84502492831,8.139816038070853,2075.19290676703,7.14205502434353,1.0,0.8774221666606862,29.963696636227542,38.207581749999996,0.00031451480506311486,2003072.8758964601,,Cell2
178,2062.60885442475,8.1426841742772,2075.13912988878,7.14247067444509,1.0,0.8771641539295124,30.11086051818182,38.15741119999997,0.0002944329644267396,2003838.3659877202,,Cell2
179,2043.80746695386,8.064005783054046,2079.5508143278,7.14155461691393,1.0,0.885608816392644,30.313917803100775,38.75907379999998,0.0003143119153751523,2004365.8680506097,,Cell2
180,2077.15311328225,8.193087927274696,2077.65212813205,7.14144678965422,1.0,0.8716428839827808,30.18076088939394,38.35375399999998,0.0003141951915217664,2005110.49213937,,Cell2
181,2069.95099768999,8.168495272521463,2077.07168045464,7.14197376923335,1.0,0.874331627914226,30.006403185240963,38.3059524,0.0003140919394350198,2005769.6362179401,,Cell2
182,2068.78338578018,8.16650864645136,2076.70912272515,7.14217912495473,1.0,0.8745694683196426,29.913924703592816,38.167684349999995,0.0003139657301105756,2006575.92431406,,Cell2
183,2064.1032188445,8.148857913189515,2077.27790147081,7.14243153979177,1.0,0.8764947942252409,29.958003985052315,38.26130800000001,0.0003138397128520322,2007381.6324101102,,Cell2
184,2061.63729374239,8.138044624643573,2077.0918108431,7.14114191956306,1.0,0.877500953722753,30.10389026555387,38.45014540000001,0.0003137328338919913,2008065.4844916302,,Cell2
185,2060.92397573899,8.133699487866622,2078.21577854763,7.14120744879204,1.0,0.877977783595875,30.07697346676737,38.38693599999999,0.00031360770005690414,2008866.73058714,,Cell2
186,2069.71298831536,8.16837503026887,2077.78935091743,7.14180147608279,1.0,0.8743234057714061,29.97078045127437,38.35137999999998,0.00031349268694243323,2009603.736675,,Cell2
187,2062.79828615945,8.14174144203442,2078.32642677599,7.14168865524522,1.0,0.8771696701609686,29.955926896084335,38.41182525000001,0.0003133880143424937,2010274.9507550101,,Cell2
